iter	Logloss
158	0.4042175196
159	0.4041444926
160	0.4040930975
161	0.4040612712
162	0.4040345886
163	0.4039805275
164	0.4039404592
165	0.4039004645
166	0.4038602352
167	0.403801672
168	0.4037753463
169	0.403736162
170	0.4036814204
171	0.4036684591
172	0.4036103187
173	0.4035743995
174	0.4035332376
175	0.4035115204
176	0.4034907359
177	0.403434641
178	0.4033836588
179	0.4033351176
180	0.4032871969
181	0.4032515064
182	0.4032125529
183	0.4031659234
184	0.4031245114
185	0.4030974973
186	0.4030580048
187	0.4030201041
188	0.4029979022
189	0.4029366461
190	0.4028894117
191	0.4028523
192	0.4028152485
193	0.4027662032
194	0.4027274048
195	0.4027034541
196	0.4026756258
197	0.402640546
198	0.4025578519
199	0.4025246743
200	0.4024737018
201	0.4024321986
202	0.4023410899
203	0.4023017893
204	0.4022810688
205	0.4022457448
206	0.4022094281
207	0.402176739
208	0.4021154169
209	0.4020772486
210	0.402038423
211	0.4020050088
212	0.4019675889
213	0.4019294341
214	0.4018888461
215	0.4018470018
216	0.401812337
217	0.401768515
218	0.4017142774
219	0.4016826722
220	0.4016555263
221	0.4015965889
222	0.4015524509
223	0.401525241
224	0.4015064477
225	0.4014576273
226	0.4014012978
227	0.4013780393
228	0.4013536543
229	0.4013276038
230	0.4012617022
231	0.4012437076
232	0.4012084166
233	0.4011660216
234	0.4011229461
235	0.4010995131
236	0.4010473928
237	0.4010226491
238	0.4010026207
239	0.4009728283
240	0.4009497501
241	0.4009066222
242	0.4008853374
243	0.4008618114
244	0.4008307005
245	0.4007850599
246	0.4007500674
247	0.4007221052
248	0.4007018655
249	0.400676356
250	0.4006401033
251	0.4006283926
252	0.4005831417
253	0.4005659091
254	0.4004946678
255	0.4004479182
256	0.4004087804
257	0.4003712248
258	0.4003503763
259	0.4003254833
260	0.4003000494
261	0.4002828906
262	0.4002416957
263	0.4002235112
264	0.4001807905
265	0.400149032
266	0.4001150555
267	0.4000974197
268	0.4000717842
269	0.4000461467
270	0.4000082847
271	0.3999736122
272	0.399927925
273	0.399914196
274	0.3998725998
275	0.3998233509
276	0.3997818226
277	0.3997407169
278	0.3997042936
279	0.3996779988
280	0.3996330717
281	0.3995947715
282	0.3995782932
283	0.3995319759
284	0.3995061562
285	0.3994367238
286	0.3994110398
287	0.3993805959
288	0.3993556875
289	0.3993401456
290	0.3992950129
291	0.3992550221
292	0.3992260479
293	0.3991899057
294	0.3991637679
295	0.399125082
296	0.3990888428
297	0.3990540365
298	0.3990295236
299	0.3989560836
300	0.3989168567
301	0.3988682845
302	0.3988052543
303	0.3987774588
304	0.3987056824
305	0.3986664129
306	0.3986276009
307	0.3985949913
308	0.3985566504
309	0.398502471
310	0.3984639712
311	0.3984418295
312	0.3984056252
313	0.398342405
314	0.3983089675
315	0.3982687711
316	0.3982397348
317	0.3982036683
318	0.3981587392
319	0.3981169782
320	0.3980602395
321	0.398027756
322	0.3979872048
323	0.3979652007
324	0.3979440944
325	0.3979079851
326	0.397862771
327	0.3978196393
328	0.3977540769
329	0.3977094212
330	0.397667759
331	0.3976181593
332	0.3975712952
333	0.3975427572
334	0.3975261354
335	0.3974801981
336	0.3974392243
337	0.3973951347
338	0.3973538061
339	0.3973265496
340	0.3972731109
341	0.3972408736
342	0.3971971291
343	0.3971685834
344	0.3971334145
345	0.3970572175
346	0.3970315936
347	0.3969669075
348	0.3969255479
349	0.3968576065
350	0.3968233567
351	0.3967721786
352	0.3967108139
353	0.3966776827
354	0.3966400379
355	0.3966069475
356	0.3965707684
357	0.3965373445
358	0.3965025905
359	0.3964626036
360	0.3964178257
361	0.3963760977
362	0.3963327371
363	0.3962867281
364	0.3962248651
365	0.396199311
366	0.3961577322
367	0.3961103621
368	0.3960747861
369	0.3960073876
370	0.395969894
371	0.3959208797
372	0.3958675651
373	0.3958055004
374	0.3957574827
375	0.3957259376
376	0.3956944176
377	0.3956444223
378	0.3956001408
379	0.3955599599
380	0.395524601
381	0.3954642871
382	0.3954154513
383	0.3953729768
384	0.3953341337
385	0.3952874151
386	0.3952489152
387	0.3951986873
388	0.3951586538
389	0.395099701
390	0.3950662615
391	0.3950224958
392	0.3949916951
393	0.394959671
394	0.3949193525
395	0.3948756275
396	0.394845678
397	0.3947904846
398	0.3947605157
399	0.3947148518
400	0.394666935
401	0.394643089
402	0.394605355
403	0.3945599547
404	0.3945338481
405	0.3944970932
406	0.3944739646
407	0.3944334367
408	0.3943944463
409	0.3943592115
410	0.3943226757
411	0.394285124
412	0.3942362144
413	0.3941836094
414	0.3941425735
415	0.3941076005
416	0.3940685791
417	0.3940194543
418	0.3939894602
419	0.3939565966
420	0.3939156054
421	0.3938619844
422	0.3938042608
423	0.3937783092
424	0.3937435882
425	0.3937013134
426	0.3936792977
427	0.3936389909
428	0.393584352
429	0.3935517094
430	0.3935118621
431	0.3934856546
432	0.3934408205
433	0.3934116174
434	0.3933756207
435	0.3933369715
436	0.3933013024
437	0.3932677583
438	0.3932284247
439	0.3931791158
440	0.393136397
441	0.3931055575
442	0.3930610783
443	0.3930235963
444	0.3929844664
445	0.3929456893
446	0.3929099736
447	0.3928521376
448	0.3928194717
449	0.3927778348
450	0.3927407251
451	0.3927075959
452	0.3926534728
453	0.3926241379
454	0.392591474
455	0.392530879
456	0.3924903918
457	0.3924489895
458	0.3924114862
459	0.3923615646
460	0.3923079572
461	0.3922832174
462	0.3922334354
463	0.392197456
464	0.3921546287
465	0.3921019577
466	0.3920549928
467	0.3920043344
468	0.3919600859
469	0.3919136406
470	0.3918853256
471	0.39185893
472	0.3918284008
473	0.3917761079
474	0.3917463135
475	0.3917145338
476	0.3916696066
477	0.3916492234
478	0.3916028014
479	0.3915599973
480	0.3915234228
481	0.3914977232
482	0.3914644951
483	0.3914209019
484	0.391365503
485	0.3913147748
486	0.391278113
487	0.3912479851
488	0.3912120814
489	0.3911936623
490	0.3911326795
491	0.391092394
492	0.3910683793
493	0.3910230004
494	0.3909888184
495	0.3909488586
496	0.3909049862
497	0.3908666473
498	0.3908386715
499	0.3907942601
500	0.3907482394
501	0.3907173477
502	0.3906812307
503	0.3906475024
504	0.3906171089
505	0.3905702836
506	0.390537769
507	0.3904883224
508	0.3904439361
509	0.3904018184
510	0.3903644256
511	0.3903426348
512	0.3903029833
513	0.3902670757
514	0.390225022
515	0.3902046834
516	0.390167597
517	0.3901116416
518	0.3900622764
519	0.390030739
520	0.3899934451
521	0.3899625087
522	0.3899089285
523	0.3898790759
524	0.3898555208
525	0.3898221996
526	0.3897988364
527	0.3897586129
528	0.3897167802
529	0.3896892989
530	0.389652069
531	0.3896239517
532	0.3895776421
533	0.3895404568
534	0.3895007297
535	0.3894507577
536	0.3894151952
537	0.3893738297
538	0.3893238712
539	0.3892717063
540	0.3892162124
541	0.3891869008
542	0.3891511832
543	0.389122368
544	0.38909681
545	0.3890611215
546	0.3890317187
547	0.3890049684
548	0.3889700864
549	0.3889373333
550	0.3889134428
551	0.3888750263
552	0.3888340214
553	0.3887829598
554	0.3887660219
555	0.3887297847
556	0.3886976443
557	0.3886779126
558	0.3886521375
559	0.38862669
560	0.3886069505
561	0.3885619148
562	0.3885230562
563	0.3885040012
564	0.3884524955
565	0.3884235426
566	0.388380595
567	0.3883522528
568	0.3883131519
569	0.3882737428
570	0.3882248797
571	0.3881923535
572	0.3881577934
573	0.3881254591
574	0.3880928728
575	0.3880434281
576	0.3879968704
577	0.3879636636
578	0.3879059885
579	0.3878649933
580	0.3878239303
581	0.3877879238
582	0.3877510604
583	0.3877161436
584	0.387672845
585	0.3876239064
586	0.3875718986
587	0.3875563703
588	0.3875194021
589	0.387481071
590	0.3874332026
591	0.3873984079
592	0.3873802524
593	0.3873427065
594	0.3873064441
595	0.3872593241
596	0.3872414052
597	0.3872106104
598	0.3871699855
599	0.387142797
600	0.3871332287
601	0.3871132139
602	0.3870791735
603	0.3870462013
604	0.3870112399
605	0.3869911417
606	0.3869263102
607	0.3868856214
608	0.386866421
609	0.3868216295
610	0.3867936906
611	0.3867401957
612	0.386712059
613	0.3866746624
614	0.3866485906
615	0.3866084505
616	0.3865473804
617	0.386512768
618	0.3864826459
619	0.3864397895
620	0.3864021195
621	0.3863565874
622	0.3863118464
623	0.3862965798
624	0.3862668242
625	0.3862407583
626	0.3862104656
627	0.3861662849
628	0.3861318198
629	0.3860923835
630	0.3860580464
631	0.3860196822
632	0.3859915979
633	0.3859651151
634	0.3859306423
635	0.3858875861
636	0.3858534952
637	0.3858181518
638	0.385780096
639	0.3857557692
640	0.3857156543
641	0.3856919169
642	0.385662708
643	0.3855897334
644	0.3855536998
645	0.3855206597
646	0.3854944038
647	0.38546497
648	0.3854235658
649	0.3853898297
650	0.3853328913
651	0.3853053887
652	0.3852626311
653	0.3852406135
654	0.3851986372
655	0.3851650214
656	0.3851334394
657	0.3851145394
658	0.385083603
659	0.3850494579
660	0.3850108436
661	0.3849740248
662	0.3849425979
663	0.3849134317
664	0.3848769347
665	0.3848199207
666	0.3847899479
667	0.3847555274
668	0.3847140515
669	0.3846898313
670	0.3846613689
671	0.3846140279
672	0.3845921246
673	0.3845545923
674	0.3845184443
675	0.3844783584
676	0.3844554276
677	0.3844240996
678	0.3843916102
679	0.3843662015
680	0.38434234
681	0.384313895
682	0.3842784024
683	0.384243472
684	0.384215155
685	0.3841573151
686	0.384137688
687	0.3841177702
688	0.3840990001
689	0.3840671079
690	0.3840547302
691	0.3840343315
692	0.3840014602
693	0.383975179
694	0.3839466507
695	0.3839199934
696	0.3838809604
697	0.383850879
698	0.3838141106
699	0.3837814486
700	0.3837566507
701	0.3837476195
702	0.3837184862
703	0.3836803509
704	0.3836425587
705	0.3836121885
706	0.3835692972
707	0.3835372072
708	0.3835120699
709	0.3834781729
710	0.3834439366
711	0.3834079961
712	0.3833773486
713	0.3833509646
714	0.3833205479
715	0.3832910773
716	0.3832665042
717	0.3832326208
718	0.3832029098
719	0.3831751182
720	0.3831471658
721	0.3831146105
722	0.3830708931
723	0.3830232787
724	0.3829897618
725	0.3829571405
726	0.3829247616
727	0.3828982226
728	0.3828636664
729	0.3828335909
730	0.3828123895
731	0.3827624853
732	0.3827178994
733	0.3826801402
734	0.3826447483
735	0.3826150334
736	0.3825854116
737	0.3825521253
738	0.3825220188
739	0.3824942001
740	0.3824658889
741	0.3824341596
742	0.3824068741
743	0.3823832065
744	0.3823524078
745	0.3823267567
746	0.3822834039
747	0.3822581038
748	0.3822231443
749	0.3821869187
