,host_since,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,cancellation_policy
1739,2012.0,1,1.0,1,1,East Downtown,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,13,115.0,2,25.0,2,1,9,39,57,332,57,0,strict
1741,2011.0,1,2.0,1,1,East Downtown,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,12,125.0,1,0.0,1,1,18,42,70,330,118,0,strict
1742,2012.0,0,1.0,1,1,Govalle,House,Private room,4,1.0,1.0,2.0,Real Bed,10,150.0,1,0.0,1,1,30,60,90,365,2,0,flexible
1743,2015.0,0,2.0,1,0,East Downtown,House,Private room,5,1.0,1.0,1.0,Airbed,1,75.0,2,25.0,1,1,2,2,2,2,0,0,flexible
1744,2015.0,0,1.0,1,1,East Downtown,House,Private room,2,1.0,1.0,1.0,Real Bed,13,69.0,1,0.0,2,1,13,28,40,106,26,0,strict
1745,2013.0,0,1.0,1,1,Govalle,Townhouse,Private room,2,1.0,1.0,1.0,Real Bed,9,50.0,1,0.0,1,1,6,36,66,66,1,0,flexible
1746,2013.0,0,2.0,1,1,Rosewood,House,Private room,2,1.0,1.0,1.0,Real Bed,16,85.0,2,25.0,1,1,30,60,90,365,8,0,moderate
1747,2012.0,1,1.0,1,1,Govalle,House,Private room,2,2.5,1.0,1.0,Real Bed,19,80.0,2,0.0,1,1,24,53,79,310,7,0,moderate
1748,2013.0,1,3.0,1,1,Rosewood,House,Private room,2,1.0,1.0,1.0,Real Bed,10,65.0,1,15.0,1,1,0,16,46,321,15,0,moderate
1749,2013.0,0,1.0,1,1,Holly,Condominium,Entire home/apt,2,1.0,0.0,1.0,Real Bed,13,110.0,1,0.0,2,1,0,12,40,308,3,0,moderate
1750,2012.0,0,1.0,1,0,East Downtown,Apartment,Entire home/apt,6,1.0,1.0,1.0,Real Bed,14,97.0,4,10.0,2,1,7,7,30,30,200,0,strict
1751,2014.0,0,2.0,1,1,Holly,House,Entire home/apt,10,3.5,4.0,5.0,Real Bed,16,1800.0,1,0.0,4,1,0,0,0,46,0,1,flexible
1752,2012.0,1,2.0,1,1,East Downtown,House,Entire home/apt,6,1.0,3.0,3.0,Real Bed,13,250.0,4,25.0,3,1,16,33,59,146,47,0,moderate
1753,2012.0,1,2.0,1,1,East Downtown,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,9,99.0,2,20.0,3,1,8,13,37,54,14,0,moderate
1754,2012.0,1,3.0,1,1,East Downtown,Other,Entire home/apt,3,1.0,1.0,1.0,Real Bed,9,99.0,2,25.0,1,1,19,44,74,349,150,0,strict
1755,2014.0,1,1.0,1,1,Holly,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,16,159.0,4,25.0,2,1,19,45,75,350,24,0,moderate
1756,2011.0,0,1.0,1,1,East Downtown,House,Entire home/apt,6,2.0,2.0,2.0,Real Bed,17,197.0,1,0.0,3,1,14,37,63,331,10,0,strict
1757,2012.0,0,1.0,1,1,Govalle,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,16,98.0,2,25.0,1,1,11,33,63,338,47,1,strict
1758,2014.0,0,1.0,1,0,Rosewood,House,Private room,2,1.0,1.0,1.0,Real Bed,10,100.0,0,0.0,2,1,30,60,90,365,0,0,strict
1760,2014.0,1,1.0,1,1,Govalle,House,Entire home/apt,3,1.0,1.0,1.0,Real Bed,13,109.0,2,33.0,3,1,16,41,64,295,22,0,moderate
1761,2014.0,1,1.0,1,1,Govalle,House,Entire home/apt,6,1.0,2.0,3.0,Real Bed,14,125.0,4,25.0,1,1,21,48,78,353,57,0,strict
1762,2013.0,0,1.0,1,0,East Downtown,House,Private room,2,1.0,1.0,1.0,Real Bed,13,125.0,2,0.0,1,1,0,0,0,212,1,0,moderate
1763,2014.0,0,1.0,1,0,Govalle,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,17,80.0,1,0.0,2,1,12,42,72,332,10,0,flexible
1764,2014.0,0,8.0,1,1,Govalle,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,13,107.0,2,40.0,1,1,28,58,88,363,15,0,strict
1765,2013.0,0,2.0,1,1,East Downtown,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,11,80.0,2,40.0,1,1,9,30,55,330,83,0,strict
1766,2011.0,0,2.0,1,1,Govalle,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,15,99.0,1,0.0,1,1,17,36,36,252,2,0,moderate
1767,2012.0,0,9.0,1,1,East Downtown,Apartment,Entire home/apt,6,1.0,1.0,1.0,Real Bed,13,140.0,2,25.0,1,1,18,41,67,327,110,0,strict
1768,2014.0,1,4.0,1,1,East Downtown,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,16,150.0,1,0.0,1,1,11,32,59,325,35,1,strict
1769,2014.0,0,1.0,1,1,East Downtown,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,17,197.0,1,0.0,1,1,28,58,88,363,5,0,moderate
1770,2011.0,1,1.0,1,1,East Downtown,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,13,95.0,2,20.0,1,1,16,42,72,347,313,0,strict
