,host_since,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,cancellation_policy
0,2011.0,0,1.0,1,0,Circle C,House,Private room,6,2.5,1.0,3.0,Real Bed,17,300.0,1,0.0,2,1,0,0,0,240,1,0,moderate
1,2015.0,0,1.0,1,1,Circle C,Camper/RV,Private room,2,0.0,1.0,1.0,Futon,6,99.0,1,0.0,3,1,29,59,89,364,0,0,moderate
5,2015.0,0,1.0,1,0,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,15,100.0,1,0.0,1,1,30,60,90,365,0,0,flexible
7,2014.0,0,1.0,1,1,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,18,40.0,2,10.0,1,1,16,16,37,312,2,1,moderate
10,2015.0,0,1.0,1,0,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,12,99.0,2,0.0,2,1,29,59,89,364,0,0,strict
12,2013.0,1,9.0,1,1,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,19,49.0,1,0.0,2,1,25,55,85,360,4,0,strict
13,2013.0,1,9.0,1,1,Circle C,House,Private room,2,1.0,1.0,1.0,Real Bed,18,50.0,1,20.0,3,1,29,59,89,364,7,0,strict
14,2011.0,1,12.0,1,0,St. Johns,Bed & Breakfast,Private room,2,1.0,1.0,1.0,Real Bed,17,55.0,1,0.0,1,1,30,60,90,365,14,0,strict
15,2015.0,0,1.0,1,1,Copperfield,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,19,180.0,0,0.0,1,1,0,0,0,238,0,1,flexible
35,2015.0,0,1.0,1,1,Steiner Ranch,Townhouse,Private room,4,1.0,1.0,1.0,Real Bed,25,59.0,4,15.0,1,1,30,60,90,365,2,0,flexible
36,2013.0,0,1.0,1,0,Steiner Ranch,House,Private room,2,1.0,1.0,1.0,Real Bed,8,155.0,1,0.0,1,1,30,60,90,365,0,0,flexible
37,2015.0,0,301.0,1,1,Steiner Ranch,House,Entire home/apt,10,3.5,4.0,5.0,Real Bed,15,700.0,1,0.0,2,1,22,42,69,340,1,0,strict
38,2015.0,0,301.0,1,1,Steiner Ranch,House,Entire home/apt,12,3.5,4.0,5.0,Real Bed,18,819.0,1,0.0,2,1,25,55,85,351,0,0,strict
40,2012.0,0,1.0,1,1,Steiner Ranch,House,Entire home/apt,8,4.5,4.0,4.0,Real Bed,11,1250.0,10,0.0,3,1,30,60,90,365,6,0,strict
42,2014.0,0,1.0,1,0,Steiner Ranch,Bed & Breakfast,Private room,6,1.0,1.0,2.0,Real Bed,18,300.0,1,0.0,1,1,30,60,90,365,0,0,flexible
43,2015.0,0,1.0,1,0,Steiner Ranch,House,Entire home/apt,8,4.0,4.0,5.0,Real Bed,17,800.0,1,0.0,1,1,0,0,0,134,0,0,flexible
44,2012.0,1,2.0,1,1,Steiner Ranch,House,Private room,2,1.0,1.0,1.0,Real Bed,26,85.0,2,25.0,2,1,25,42,72,341,9,1,strict
45,2014.0,0,1.0,1,0,Steiner Ranch,House,Entire home/apt,8,4.0,4.0,5.0,Real Bed,16,600.0,1,0.0,2,1,21,51,81,356,0,0,moderate
46,2014.0,0,1.0,1,1,Steiner Ranch,House,Entire home/apt,5,2.5,4.0,3.0,Real Bed,16,200.0,1,0.0,1,1,25,44,74,349,1,0,flexible
47,2014.0,0,1.0,1,1,Steiner Ranch,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,21,1000.0,1,0.0,1,1,0,0,0,39,0,1,flexible
49,2015.0,0,301.0,1,1,Steiner Ranch,House,Entire home/apt,8,2.5,3.0,4.0,Real Bed,16,629.0,1,0.0,2,1,21,48,78,353,0,0,strict
51,2015.0,0,301.0,1,1,Steiner Ranch,House,Entire home/apt,8,3.0,3.0,4.0,Real Bed,16,469.0,1,0.0,2,1,15,32,62,323,1,0,strict
53,2015.0,0,1.0,1,1,Steiner Ranch,House,Entire home/apt,16,2.0,4.0,12.0,Real Bed,11,565.0,16,25.0,2,1,23,50,80,352,7,0,strict
55,2015.0,0,1.0,1,0,Steiner Ranch,House,Entire home/apt,7,2.5,4.0,3.0,Real Bed,14,499.0,1,0.0,1,1,30,60,90,365,0,0,flexible
56,2014.0,0,1.0,1,1,Steiner Ranch,House,Entire home/apt,16,3.0,5.0,11.0,Real Bed,19,599.0,4,35.0,2,1,26,56,86,361,4,0,strict
58,2012.0,1,2.0,1,1,Steiner Ranch,House,Private room,2,1.0,1.0,1.0,Real Bed,24,85.0,2,25.0,2,1,26,56,86,361,10,0,strict
59,2015.0,0,1.0,1,1,Oak Hill,Bungalow,Private room,2,1.0,1.0,1.0,Real Bed,14,110.0,0,0.0,1,1,17,47,77,352,0,1,flexible
60,2015.0,0,1.0,1,0,Oak Hill,House,Private room,1,1.0,1.0,1.0,Real Bed,17,48.0,1,0.0,1,1,0,21,51,297,2,0,flexible
74,2013.0,0,2.0,1,1,Oak Hill,House,Private room,2,1.0,1.0,1.0,Real Bed,10,150.0,1,0.0,1,1,30,60,90,365,0,0,flexible
78,2013.0,0,2.0,1,1,Oak Hill,House,Private room,2,1.0,1.0,1.0,Real Bed,9,450.0,1,0.0,1,1,30,60,90,365,0,0,flexible
80,2012.0,0,1.0,1,1,Brentwood,House,Entire home/apt,4,2.5,2.0,2.0,Real Bed,14,249.0,2,50.0,1,1,30,60,90,365,0,0,strict
81,2014.0,0,1.0,1,1,Brentwood,Apartment,Shared room,1,1.0,1.0,2.0,Real Bed,11,75.0,1,0.0,1,1,28,58,88,88,2,0,moderate
82,2013.0,0,1.0,1,0,Allendale,House,Private room,2,1.0,1.0,1.0,Real Bed,16,120.0,1,0.0,1,1,0,0,0,9,0,0,strict
83,2011.0,0,5.0,1,1,Allendale,Bed & Breakfast,Private room,2,2.0,1.0,1.0,Real Bed,13,75.0,1,0.0,1,1,30,60,90,365,1,0,flexible
84,2014.0,0,1.0,1,1,Allendale,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,15,300.0,1,0.0,2,1,16,29,45,299,0,0,moderate
85,2014.0,0,1.0,1,0,Rosedale,House,Private room,4,1.0,1.0,1.0,Real Bed,14,79.0,2,40.0,1,1,30,60,90,365,1,0,moderate
86,2014.0,0,1.0,1,1,Rosedale,Loft,Entire home/apt,4,1.0,1.0,2.0,Real Bed,12,109.0,3,50.0,1,1,2,2,6,262,56,0,flexible
87,2013.0,0,1.0,1,1,Rosedale,House,Private room,3,1.0,1.0,1.0,Real Bed,11,88.0,3,20.0,2,1,18,35,57,332,90,0,strict
88,2014.0,0,2.0,1,0,Rosedale,House,Entire home/apt,5,1.0,1.0,3.0,Real Bed,13,115.0,4,25.0,2,1,23,32,54,316,11,0,strict
89,2014.0,1,1.0,1,1,Allendale,House,Entire home/apt,4,1.0,0.0,2.0,Real Bed,13,144.0,3,20.0,2,1,23,49,79,354,8,0,moderate
90,2011.0,0,1.0,1,0,Rosedale,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,12,200.0,1,0.0,2,1,30,60,90,365,0,0,flexible
91,2014.0,0,1.0,1,1,Rosedale,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,1,150.0,2,75.0,1,1,0,0,0,258,0,0,flexible
92,2015.0,0,1.0,1,0,Rosedale,House,Entire home/apt,8,3.5,4.0,5.0,Real Bed,15,699.0,1,0.0,3,1,29,59,89,364,0,0,flexible
93,2013.0,0,1.0,1,1,Rosedale,House,Entire home/apt,6,2.0,3.0,4.0,Real Bed,17,625.0,6,25.0,1,1,30,60,90,365,2,0,flexible
94,2011.0,0,2.0,1,1,Brentwood,House,Entire home/apt,3,1.0,2.0,3.0,Real Bed,16,102.0,3,25.0,2,1,9,20,20,293,20,0,strict
95,2012.0,0,1.0,1,1,Rosedale,House,Entire home/apt,3,1.0,2.0,2.0,Real Bed,1,250.0,1,0.0,1,1,0,0,0,225,0,0,flexible
96,2013.0,0,2.0,1,0,Brentwood,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,9,70.0,1,0.0,3,1,0,19,19,247,8,0,strict
97,2015.0,0,1.0,1,1,Brentwood,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,14,119.0,1,0.0,2,1,28,58,88,332,0,1,moderate
98,2012.0,0,1.0,1,0,Brentwood,House,Private room,2,1.0,1.0,2.0,Real Bed,11,300.0,1,0.0,14,1,30,60,90,365,1,0,strict
99,2012.0,0,1.0,1,0,Rosedale,Other,Entire home/apt,4,2.0,2.0,2.0,Real Bed,13,199.0,1,0.0,1,1,0,5,35,310,30,0,strict
100,2014.0,1,1.0,1,0,Brentwood,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,5,97.0,1,0.0,1,1,6,25,55,324,61,0,flexible
101,2009.0,1,1.0,1,1,Brentwood,House,Entire home/apt,6,1.0,2.0,3.0,Real Bed,16,125.0,2,0.0,3,1,11,11,11,11,46,1,strict
103,2015.0,0,1.0,1,1,Brentwood,Loft,Entire home/apt,4,1.0,1.0,2.0,Real Bed,18,118.0,4,10.0,3,1,28,58,88,205,5,0,flexible
104,2014.0,0,4.0,1,1,Brentwood,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,20,163.0,2,0.0,2,1,23,53,83,358,32,1,strict
105,2014.0,0,1.0,1,1,Brentwood,House,Entire home/apt,8,3.0,4.0,4.0,Real Bed,18,400.0,1,0.0,3,1,30,60,90,365,0,0,flexible
106,2015.0,0,3.0,1,1,Brentwood,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,15,125.0,1,0.0,1,1,0,0,0,102,1,0,flexible
107,2011.0,1,2.0,1,1,Brentwood,House,Entire home/apt,5,1.0,2.0,2.0,Real Bed,11,169.0,4,49.0,2,1,18,39,69,341,50,0,moderate
108,2014.0,0,1.0,1,1,Brentwood,House,Entire home/apt,10,3.0,3.0,4.0,Real Bed,16,650.0,1,0.0,1,1,29,59,89,360,1,0,strict
109,2015.0,0,1.0,1,1,Brentwood,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,15,300.0,1,0.0,1,1,0,0,0,221,1,0,flexible
110,2015.0,1,1.0,1,1,Rosedale,House,Private room,4,1.0,1.0,2.0,Real Bed,14,75.0,2,25.0,2,1,5,19,47,124,17,1,moderate
112,2012.0,0,1.0,1,0,Rosedale,House,Entire home/apt,7,2.0,3.0,5.0,Real Bed,10,500.0,8,50.0,2,1,30,60,90,365,2,0,strict
113,2015.0,0,1.0,1,1,Rosedale,House,Entire home/apt,8,2.0,3.0,4.0,Real Bed,14,157.0,1,0.0,2,1,11,11,11,137,6,0,strict
114,2013.0,0,1.0,1,1,Rosedale,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,15,180.0,2,50.0,3,1,19,44,74,335,8,1,strict
115,2014.0,0,26.0,1,0,Brentwood,House,Entire home/apt,6,2.5,2.0,3.0,Real Bed,13,172.0,4,11.0,1,1,29,59,89,364,2,0,strict
116,2013.0,1,2.0,1,1,Rosedale,House,Entire home/apt,7,2.0,3.0,4.0,Real Bed,15,399.0,6,20.0,1,1,4,30,45,286,2,0,strict
117,2013.0,0,1.0,1,0,Brentwood,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,14,63.0,2,15.0,3,1,0,17,22,22,0,0,moderate
118,2012.0,0,1.0,1,1,Allendale,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,14,75.0,1,0.0,2,1,15,45,75,75,1,0,moderate
119,2013.0,0,1.0,1,1,Brentwood,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,8,60.0,0,0.0,2,1,0,0,0,1,14,0,flexible
120,2013.0,0,1.0,1,1,Brentwood,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,11,95.0,1,0.0,3,1,0,0,0,241,4,0,flexible
122,2013.0,0,1.0,1,1,Brentwood,House,Entire home/apt,6,1.5,2.0,3.0,Real Bed,18,185.0,1,0.0,3,1,13,28,28,247,3,0,strict
123,2015.0,0,3.0,1,1,Brentwood,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,15,90.0,1,0.0,1,1,0,0,0,68,0,0,flexible
125,2014.0,0,2.0,1,0,Rosedale,House,Entire home/apt,6,2.0,3.0,2.0,Real Bed,15,600.0,1,0.0,2,1,0,0,0,17,0,0,strict
126,2012.0,0,2.0,1,1,Rosedale,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,10,100.0,2,40.0,2,1,0,18,48,323,3,0,strict
127,2013.0,0,339.0,1,1,Allendale,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,9,172.0,1,0.0,2,1,0,5,35,310,2,0,strict
128,2015.0,0,1.0,1,0,Brentwood,Apartment,Entire home/apt,6,1.0,1.0,3.0,Real Bed,19,150.0,1,50.0,3,1,0,0,0,241,0,0,flexible
129,2015.0,0,1.0,1,0,Allendale,House,Private room,3,1.0,1.0,1.0,Real Bed,10,200.0,1,0.0,1,1,0,0,0,7,0,0,flexible
130,2014.0,0,1.0,1,1,Rosedale,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,18,190.0,2,8.0,7,1,0,25,55,145,0,0,strict
131,2013.0,0,1.0,1,1,Brentwood,Apartment,Entire home/apt,2,1.0,0.0,1.0,Pull-out Sofa,11,85.0,1,0.0,1,1,18,38,68,158,23,1,moderate
132,2015.0,0,1.0,1,1,Rosedale,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,15,175.0,1,0.0,1,1,0,0,0,233,2,0,moderate
133,2010.0,0,2.0,1,1,Allendale,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,15,89.0,1,0.0,2,1,0,0,19,263,2,0,strict
135,2014.0,0,1.0,1,1,Brentwood,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,13,370.0,1,0.0,2,1,0,0,0,211,0,0,moderate
136,2012.0,0,1.0,1,0,Brentwood,House,Entire home/apt,6,1.5,3.0,5.0,Real Bed,12,114.0,4,0.0,3,1,25,53,83,358,21,0,strict
137,2014.0,0,2.0,1,0,Rosedale,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,14,143.0,1,0.0,2,1,18,18,18,236,4,0,strict
138,2015.0,0,1.0,1,0,Allendale,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,17,750.0,1,0.0,1,1,0,0,0,229,0,0,flexible
139,2015.0,1,1.0,1,0,Brentwood,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,13,115.0,1,15.0,2,1,24,54,84,359,23,0,moderate
140,2015.0,0,1.0,1,1,Rosedale,House,Entire home/apt,4,1.0,0.0,2.0,Real Bed,9,90.0,1,0.0,2,1,19,49,79,354,7,1,strict
141,2012.0,0,1.0,1,0,Rosedale,House,Entire home/apt,5,2.0,3.0,5.0,Real Bed,10,180.0,1,0.0,1,1,0,8,8,162,2,1,strict
142,2011.0,0,21.0,1,1,Brentwood,House,Entire home/apt,6,1.0,3.0,4.0,Real Bed,15,180.0,4,0.0,2,1,4,23,53,328,15,0,strict
143,2011.0,0,1.0,1,0,Rosedale,House,Entire home/apt,4,2.0,2.0,2.0,Real Bed,11,499.0,1,0.0,4,1,30,60,90,365,1,0,strict
144,2013.0,0,1.0,1,1,Rosedale,Apartment,Entire home/apt,5,1.0,1.0,2.0,Real Bed,16,400.0,1,0.0,1,1,30,60,90,365,0,0,strict
145,2011.0,1,2.0,1,1,Allendale,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,16,150.0,4,50.0,2,1,29,58,88,363,5,0,strict
146,2014.0,0,2.0,1,0,Rosedale,House,Entire home/apt,6,1.0,2.0,4.0,Real Bed,16,200.0,5,25.0,2,1,0,0,0,189,5,0,strict
147,2015.0,0,1.0,1,1,Allendale,House,Entire home/apt,2,2.0,2.0,2.0,Real Bed,16,100.0,1,0.0,1,1,0,0,0,0,2,0,flexible
148,2013.0,0,1.0,1,1,Allendale,House,Entire home/apt,6,1.5,3.0,4.0,Real Bed,16,225.0,1,0.0,2,1,8,38,68,343,1,1,strict
149,2013.0,0,1.0,1,0,Brentwood,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,18,85.0,1,0.0,2,1,10,23,29,296,36,0,moderate
150,2014.0,0,1.0,1,0,Rosedale,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,17,175.0,4,50.0,2,1,0,13,43,318,0,0,flexible
151,2013.0,0,1.0,1,0,Rosedale,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,15,95.0,1,0.0,1,1,15,45,75,350,1,0,flexible
152,2014.0,0,8.0,1,1,Rosedale,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,1,106.0,1,0.0,30,1,11,41,71,346,5,0,flexible
153,2012.0,0,1.0,1,0,Rosedale,House,Entire home/apt,9,2.5,3.0,3.0,Real Bed,12,800.0,1,0.0,3,1,30,60,90,365,0,0,moderate
154,2015.0,0,1.0,1,1,Rosedale,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,18,135.0,3,20.0,2,1,29,44,74,349,2,0,flexible
155,2011.0,0,1.0,1,1,Brentwood,House,Entire home/apt,5,1.5,3.0,3.0,Real Bed,17,399.0,1,0.0,4,1,30,60,90,365,0,0,strict
156,2013.0,0,1.0,1,1,Allendale,House,Private room,2,1.0,1.0,1.0,Real Bed,20,55.0,1,15.0,2,1,0,20,41,310,8,0,flexible
157,2015.0,0,1.0,1,0,Brentwood,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,6,250.0,1,0.0,1,1,0,0,0,0,0,0,flexible
158,2014.0,0,1.0,1,1,Brentwood,Apartment,Shared room,2,1.0,1.0,1.0,Couch,8,75.0,1,75.0,1,1,30,60,90,365,0,0,flexible
159,2014.0,1,1.0,1,1,Rosedale,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,16,185.0,4,0.0,2,1,6,36,66,341,13,1,strict
160,2014.0,0,1.0,1,1,Allendale,House,Entire home/apt,5,2.0,3.0,3.0,Real Bed,15,199.0,1,0.0,1,1,6,20,24,243,5,0,moderate
161,2013.0,0,1.0,1,1,Rosedale,House,Entire home/apt,5,3.0,3.0,3.0,Real Bed,10,350.0,1,50.0,5,1,0,9,39,314,0,0,strict
162,2015.0,0,1.0,1,0,Brentwood,Townhouse,Entire home/apt,6,1.0,1.0,3.0,Real Bed,13,85.0,1,0.0,1,1,0,0,0,33,0,0,flexible
163,2015.0,0,3.0,1,1,Brentwood,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,15,97.0,1,0.0,1,1,0,0,0,146,1,0,flexible
164,2015.0,0,1.0,1,1,Brentwood,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,15,61.0,2,0.0,2,1,0,0,0,219,7,0,moderate
165,2012.0,0,2.0,1,1,Rosedale,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,11,120.0,2,0.0,14,1,0,0,0,26,5,0,strict
166,2012.0,0,1.0,1,0,Allendale,House,Entire home/apt,7,2.0,2.0,2.0,Real Bed,15,700.0,1,0.0,2,1,30,60,90,365,0,0,moderate
167,2012.0,0,1.0,1,0,Allendale,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,11,625.0,1,0.0,4,1,30,60,90,365,0,0,flexible
169,2015.0,1,2.0,1,1,Allendale,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,9,250.0,0,0.0,3,1,0,0,0,214,1,0,strict
170,2012.0,0,1.0,1,0,Brentwood,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,14,160.0,1,50.0,6,1,0,5,35,310,1,0,strict
178,2015.0,0,1.0,1,1,McKinney,House,Private room,2,1.5,1.0,1.0,Futon,21,80.0,1,0.0,1,1,26,56,86,361,1,1,flexible
183,2011.0,1,12.0,1,0,McKinney,House,Private room,1,2.5,1.0,1.0,Real Bed,12,55.0,2,10.0,1,1,30,60,90,365,5,0,strict
189,2011.0,1,2.0,1,1,Hancock,House,Private room,2,1.5,1.0,1.0,Airbed,13,65.0,1,50.0,3,1,16,46,76,351,10,0,strict
190,2011.0,1,2.0,1,1,Hancock,House,Private room,2,1.5,1.0,2.0,Real Bed,12,55.0,1,35.0,3,1,15,45,75,350,12,0,strict
191,2013.0,0,1.0,1,1,Hancock,Apartment,Private room,4,1.0,1.0,2.0,Real Bed,18,130.0,1,15.0,1,1,0,3,33,308,24,0,flexible
192,2014.0,0,1.0,1,0,Hancock,House,Private room,2,1.0,1.0,1.0,Real Bed,1,40.0,1,0.0,1,1,0,0,0,99,0,0,flexible
193,2013.0,0,1.0,1,0,Hancock,House,Private room,1,1.0,1.0,1.0,Real Bed,6,150.0,1,0.0,1,1,30,60,90,365,0,0,flexible
194,2013.0,0,1.0,1,0,Hancock,House,Private room,2,1.0,1.0,1.0,Real Bed,15,95.0,1,0.0,1,1,0,0,0,254,0,0,flexible
195,2014.0,0,1.0,1,1,North Loop,Condominium,Private room,4,1.5,1.0,2.0,Real Bed,1,65.0,1,20.0,1,1,29,59,89,364,5,0,flexible
197,2011.0,0,2.0,1,1,North Loop,House,Private room,2,1.0,1.0,1.0,Real Bed,9,40.0,1,0.0,1,1,19,21,40,40,0,0,flexible
198,2015.0,0,1.0,1,1,Hancock,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,17,65.0,1,0.0,2,1,0,6,21,274,4,0,moderate
199,2014.0,0,1.0,1,0,North Loop,House,Private room,2,1.0,1.0,1.0,Real Bed,11,100.0,1,20.0,1,1,0,0,27,302,0,0,flexible
200,2012.0,1,1.0,1,1,Hancock,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,17,99.0,2,10.0,1,1,12,32,59,331,119,0,strict
201,2014.0,0,1.0,1,1,North Loop,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,16,185.0,1,0.0,1,1,0,0,0,224,0,0,flexible
203,2014.0,1,1.0,1,1,Hancock,House,Entire home/apt,6,1.0,2.0,2.0,Real Bed,20,135.0,4,15.0,2,1,9,28,58,333,42,0,moderate
204,2012.0,0,1.0,1,1,Hancock,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,1,35.0,1,0.0,1,1,0,0,0,205,4,0,strict
206,2013.0,0,1.0,1,1,North Loop,House,Private room,2,1.0,1.0,1.0,Real Bed,11,60.0,1,50.0,7,1,30,60,90,365,1,0,moderate
207,2014.0,0,1.0,1,1,Hancock,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,16,95.0,2,50.0,2,1,15,41,71,71,6,0,moderate
208,2015.0,0,1.0,1,1,Hancock,House,Entire home/apt,2,1.0,2.0,1.0,Real Bed,11,60.0,1,0.0,2,1,3,3,3,140,2,0,strict
209,2013.0,0,339.0,1,1,Hancock,House,Entire home/apt,6,1.5,3.0,4.0,Real Bed,14,350.0,1,0.0,2,1,7,21,48,312,3,0,strict
210,2013.0,1,32.0,1,1,North Loop,House,Private room,2,1.0,1.0,2.0,Real Bed,14,50.0,1,7.0,14,1,7,37,67,342,0,0,strict
211,2014.0,0,1.0,1,0,North Loop,House,Private room,2,1.0,1.0,1.0,Real Bed,12,110.0,1,0.0,1,1,30,60,90,365,0,0,flexible
213,2015.0,0,1.0,1,1,North Loop,Apartment,Private room,1,1.0,1.0,1.0,Real Bed,16,60.0,1,0.0,1,1,29,59,89,364,1,0,moderate
214,2015.0,0,1.0,1,0,North Loop,Other,Private room,3,1.0,1.0,2.0,Real Bed,15,59.0,2,10.0,4,1,30,60,90,365,1,0,strict
216,2014.0,0,1.0,1,0,North Loop,House,Private room,2,1.0,1.0,1.0,Real Bed,10,100.0,1,0.0,1,1,30,60,90,365,0,0,strict
218,2011.0,0,1.0,1,1,Hancock,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,17,71.0,1,0.0,2,1,0,0,0,126,13,0,moderate
219,2012.0,0,1.0,1,1,Hancock,Apartment,Entire home/apt,4,2.0,2.0,2.0,Real Bed,14,125.0,2,25.0,2,1,0,0,0,0,18,0,strict
220,2013.0,0,1.0,1,1,Hancock,Apartment,Entire home/apt,4,1.0,0.0,1.0,Real Bed,14,90.0,1,0.0,1,1,17,33,61,324,15,1,moderate
222,2015.0,0,1.0,1,1,Hancock,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,16,109.0,1,30.0,1,1,26,56,86,353,6,0,strict
223,2013.0,1,1.0,1,0,North Loop,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,15,90.0,1,0.0,1,1,0,0,10,195,43,0,flexible
224,2011.0,0,21.0,1,1,Hancock,House,Entire home/apt,4,1.0,0.0,2.0,Real Bed,11,85.0,2,0.0,3,1,7,35,65,337,28,0,strict
225,2015.0,0,1.0,1,1,Hancock,Bungalow,Entire home/apt,3,1.0,0.0,1.0,Real Bed,15,200.0,1,0.0,2,1,15,33,33,51,0,0,flexible
226,2015.0,0,1.0,1,0,Hancock,House,Entire home/apt,5,2.0,3.0,4.0,Real Bed,11,800.0,1,0.0,1,1,0,0,0,218,0,0,flexible
227,2014.0,1,1.0,1,1,Hyde Park,House,Private room,3,1.0,1.0,1.0,Real Bed,16,64.0,2,40.0,1,1,14,39,64,329,49,1,flexible
229,2011.0,0,1.0,1,0,Hancock,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,11,100.0,3,25.0,2,1,0,0,0,49,1,0,moderate
231,2014.0,0,2.0,1,1,North Loop,House,Entire home/apt,6,2.5,3.0,3.0,Real Bed,14,495.0,1,0.0,2,1,30,60,83,157,2,0,moderate
232,2015.0,0,1.0,1,1,Hyde Park,House,Private room,2,1.0,1.0,1.0,Real Bed,14,94.0,1,0.0,1,1,26,56,86,361,3,0,flexible
233,2012.0,0,1.0,1,0,Hyde Park,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,15,160.0,1,0.0,1,1,15,45,75,350,0,0,flexible
235,2015.0,1,1.0,1,1,North Loop,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,14,156.0,4,15.0,1,1,0,14,22,244,10,0,flexible
236,2014.0,0,1.0,1,0,North Loop,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,14,600.0,1,0.0,3,1,0,0,0,269,0,0,strict
237,2015.0,0,1.0,1,0,North Loop,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,18,180.0,1,0.0,2,1,0,0,0,28,0,0,flexible
238,2014.0,0,1.0,1,0,Hancock,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,10,300.0,1,0.0,1,1,30,60,90,365,0,0,strict
239,2015.0,0,301.0,1,1,North Loop,House,Entire home/apt,10,3.0,4.0,4.0,Real Bed,17,300.0,1,0.0,2,1,0,0,0,0,0,0,strict
240,2014.0,0,1.0,1,1,Hancock,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,17,230.0,1,0.0,4,1,29,59,89,364,2,0,strict
241,2011.0,0,21.0,1,1,Hancock,House,Entire home/apt,6,1.0,2.0,3.0,Real Bed,16,185.0,2,0.0,2,1,13,28,39,314,24,0,strict
242,2013.0,0,1.0,1,1,Hancock,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,11,115.0,1,0.0,3,1,22,38,38,252,12,0,strict
243,2011.0,0,1.0,1,1,Hancock,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,15,150.0,1,0.0,2,1,7,10,40,315,3,0,flexible
244,2011.0,0,1.0,1,1,Hancock,House,Entire home/apt,4,1.0,2.0,1.0,Real Bed,14,125.0,4,15.0,2,1,0,0,0,239,0,0,strict
245,2012.0,0,1.0,1,0,Hancock,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,13,217.0,2,50.0,1,1,30,60,90,365,3,0,moderate
