host_since,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,guests_included,extra_people,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,instant_bookable,cancellation_policy
2015.0,0,1.0,1,1,House,Entire home/apt,16,2.0,4.0,12.0,Real Bed,11,565.0,16,25.0,2,1,23,50,80,352,7,0,strict
2015.0,0,1.0,1,0,House,Entire home/apt,7,3.0,3.0,4.0,Real Bed,10,250.0,1,0.0,2,1,22,50,80,355,0,0,flexible
2015.0,0,1.0,1,0,House,Entire home/apt,7,2.5,4.0,3.0,Real Bed,14,499.0,1,0.0,1,1,30,60,90,365,0,0,flexible
2014.0,0,1.0,1,1,House,Entire home/apt,16,3.0,5.0,11.0,Real Bed,19,599.0,4,35.0,2,1,26,56,86,361,4,0,strict
2014.0,0,1.0,1,0,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,14,149.0,0,0.0,1,1,11,26,56,328,15,0,moderate
2012.0,1,2.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,24,85.0,2,25.0,2,1,26,56,86,361,10,0,strict
2015.0,0,1.0,1,1,Bungalow,Private room,2,1.0,1.0,1.0,Real Bed,14,110.0,0,0.0,1,1,17,47,77,352,0,1,flexible
2015.0,0,1.0,1,0,House,Private room,1,1.0,1.0,1.0,Real Bed,17,48.0,1,0.0,1,1,0,21,51,297,2,0,flexible
2015.0,0,1.0,1,0,House,Private room,2,1.0,1.0,1.0,Real Bed,17,89.0,2,0.0,2,1,25,38,52,142,0,0,moderate
2013.0,1,1.0,1,1,Bed & Breakfast,Entire home/apt,6,1.0,2.0,2.0,Real Bed,16,165.0,2,10.0,2,1,7,37,67,157,54,0,strict
2014.0,1,1.0,1,1,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,9,115.0,1,0.0,2,1,29,59,89,179,19,0,moderate
2015.0,0,301.0,1,1,House,Entire home/apt,12,2.5,6.0,8.0,Real Bed,16,909.0,1,0.0,2,1,29,43,73,337,0,0,strict
2015.0,0,1.0,1,1,Cabin,Entire home/apt,4,1.0,1.0,1.0,Real Bed,16,135.0,2,0.0,2,1,29,59,89,364,2,0,strict
2014.0,0,1.0,1,1,House,Entire home/apt,3,1.0,0.0,1.0,Real Bed,19,75.0,2,25.0,1,1,13,33,63,338,4,0,moderate
2014.0,1,1.0,1,1,House,Entire home/apt,3,1.0,1.0,2.0,Real Bed,8,145.0,3,25.0,2,1,20,50,80,355,38,1,moderate
2012.0,0,1.0,1,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,15,125.0,2,15.0,2,1,27,48,78,344,20,0,moderate
2013.0,0,1.0,1,0,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,8,350.0,1,0.0,3,1,30,60,90,365,1,0,moderate
2015.0,0,1.0,1,1,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,15,130.0,1,10.0,2,1,29,59,89,364,0,0,flexible
2011.0,0,2.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,20,59.0,2,0.0,1,1,29,59,89,362,13,1,strict
2012.0,0,1.0,1,1,House,Private room,2,1.5,1.0,1.0,Real Bed,15,89.0,1,0.0,1,1,29,59,89,364,12,0,moderate
2015.0,0,1.0,1,0,House,Entire home/apt,10,3.5,5.0,7.0,Real Bed,20,600.0,10,50.0,2,1,26,55,85,244,0,0,flexible
2013.0,0,2.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,10,150.0,1,0.0,1,1,30,60,90,365,0,0,flexible
2015.0,1,2.0,1,1,House,Private room,2,2.0,1.0,1.0,Real Bed,14,65.0,2,35.0,1,1,19,26,56,331,26,0,flexible
2015.0,0,1.0,1,0,Bed & Breakfast,Entire home/apt,4,1.0,1.0,2.0,Real Bed,15,175.0,2,15.0,1,1,8,38,68,343,3,0,flexible
2014.0,1,1.0,1,1,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,17,150.0,1,0.0,1,1,17,47,77,352,47,0,flexible
2013.0,0,2.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,9,450.0,1,0.0,1,1,30,60,90,365,0,0,flexible
2015.0,0,1.0,1,1,Other,Entire home/apt,16,6.0,6.0,7.0,Real Bed,20,6500.0,1,0.0,4,1,30,60,90,365,0,0,strict
2012.0,0,1.0,1,1,House,Entire home/apt,4,2.5,2.0,2.0,Real Bed,14,249.0,2,50.0,1,1,30,60,90,365,0,0,strict
2014.0,0,1.0,1,1,Apartment,Shared room,1,1.0,1.0,2.0,Real Bed,11,75.0,1,0.0,1,1,28,58,88,88,2,0,moderate
2013.0,0,1.0,1,0,House,Private room,2,1.0,1.0,1.0,Real Bed,16,120.0,1,0.0,1,1,0,0,0,9,0,0,strict
2011.0,0,5.0,1,1,Bed & Breakfast,Private room,2,2.0,1.0,1.0,Real Bed,13,75.0,1,0.0,1,1,30,60,90,365,1,0,flexible
2014.0,0,1.0,1,1,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,15,300.0,1,0.0,2,1,16,29,45,299,0,0,moderate
2014.0,0,1.0,1,0,House,Private room,4,1.0,1.0,1.0,Real Bed,14,79.0,2,40.0,1,1,30,60,90,365,1,0,moderate
2014.0,0,1.0,1,1,Loft,Entire home/apt,4,1.0,1.0,2.0,Real Bed,12,109.0,3,50.0,1,1,2,2,6,262,56,0,flexible
2013.0,0,1.0,1,1,House,Private room,3,1.0,1.0,1.0,Real Bed,11,88.0,3,20.0,2,1,18,35,57,332,90,0,strict
2014.0,0,2.0,1,0,House,Entire home/apt,5,1.0,1.0,3.0,Real Bed,13,115.0,4,25.0,2,1,23,32,54,316,11,0,strict
2014.0,1,1.0,1,1,House,Entire home/apt,4,1.0,0.0,2.0,Real Bed,13,144.0,3,20.0,2,1,23,49,79,354,8,0,moderate
2011.0,0,1.0,1,0,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,12,200.0,1,0.0,2,1,30,60,90,365,0,0,flexible
2014.0,0,1.0,1,1,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,1,150.0,2,75.0,1,1,0,0,0,258,0,0,flexible
2015.0,0,1.0,1,0,House,Entire home/apt,8,3.5,4.0,5.0,Real Bed,15,699.0,1,0.0,3,1,29,59,89,364,0,0,flexible
2013.0,0,1.0,1,1,House,Entire home/apt,6,2.0,3.0,4.0,Real Bed,17,625.0,6,25.0,1,1,30,60,90,365,2,0,flexible
2011.0,0,2.0,1,1,House,Entire home/apt,3,1.0,2.0,3.0,Real Bed,16,102.0,3,25.0,2,1,9,20,20,293,20,0,strict
2012.0,0,1.0,1,1,House,Entire home/apt,3,1.0,2.0,2.0,Real Bed,1,250.0,1,0.0,1,1,0,0,0,225,0,0,flexible
2013.0,0,2.0,1,0,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,9,70.0,1,0.0,3,1,0,19,19,247,8,0,strict
2015.0,0,1.0,1,1,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,14,119.0,1,0.0,2,1,28,58,88,332,0,1,moderate
2012.0,0,1.0,1,0,House,Private room,2,1.0,1.0,2.0,Real Bed,11,300.0,1,0.0,14,1,30,60,90,365,1,0,strict
2012.0,0,1.0,1,0,Other,Entire home/apt,4,2.0,2.0,2.0,Real Bed,13,199.0,1,0.0,1,1,0,5,35,310,30,0,strict
2014.0,1,1.0,1,0,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,5,97.0,1,0.0,1,1,6,25,55,324,61,0,flexible
2009.0,1,1.0,1,1,House,Entire home/apt,6,1.0,2.0,3.0,Real Bed,16,125.0,2,0.0,3,1,11,11,11,11,46,1,strict
2014.0,0,4.0,1,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,20,97.0,2,25.0,2,1,27,57,87,360,5,1,strict
2015.0,0,1.0,1,1,Loft,Entire home/apt,4,1.0,1.0,2.0,Real Bed,18,118.0,4,10.0,3,1,28,58,88,205,5,0,flexible
2014.0,0,4.0,1,1,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,20,163.0,2,0.0,2,1,23,53,83,358,32,1,strict
2014.0,0,1.0,1,1,House,Entire home/apt,8,3.0,4.0,4.0,Real Bed,18,400.0,1,0.0,3,1,30,60,90,365,0,0,flexible
2015.0,0,3.0,1,1,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,15,125.0,1,0.0,1,1,0,0,0,102,1,0,flexible
2011.0,1,2.0,1,1,House,Entire home/apt,5,1.0,2.0,2.0,Real Bed,11,169.0,4,49.0,2,1,18,39,69,341,50,0,moderate
2014.0,0,1.0,1,1,House,Entire home/apt,10,3.0,3.0,4.0,Real Bed,16,650.0,1,0.0,1,1,29,59,89,360,1,0,strict
2015.0,0,1.0,1,1,Apartment,Entire home/apt,6,1.0,2.0,3.0,Real Bed,15,300.0,1,0.0,1,1,0,0,0,221,1,0,flexible
2015.0,1,1.0,1,1,House,Private room,4,1.0,1.0,2.0,Real Bed,14,75.0,2,25.0,2,1,5,19,47,124,17,1,moderate
2015.0,0,1.0,1,1,House,Private room,4,1.0,1.0,3.0,Real Bed,12,60.0,2,20.0,1,1,20,44,74,349,2,0,flexible
2012.0,0,1.0,1,0,House,Entire home/apt,7,2.0,3.0,5.0,Real Bed,10,500.0,8,50.0,2,1,30,60,90,365,2,0,strict
2015.0,0,1.0,1,1,House,Entire home/apt,8,2.0,3.0,4.0,Real Bed,14,157.0,1,0.0,2,1,11,11,11,137,6,0,strict
2013.0,0,1.0,1,1,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,15,180.0,2,50.0,3,1,19,44,74,335,8,1,strict
2014.0,0,26.0,1,0,House,Entire home/apt,6,2.5,2.0,3.0,Real Bed,13,172.0,4,11.0,1,1,29,59,89,364,2,0,strict
2013.0,1,2.0,1,1,House,Entire home/apt,7,2.0,3.0,4.0,Real Bed,15,399.0,6,20.0,1,1,4,30,45,286,2,0,strict
2013.0,0,1.0,1,0,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,14,63.0,2,15.0,3,1,0,17,22,22,0,0,moderate
2012.0,0,1.0,1,1,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,14,75.0,1,0.0,2,1,15,45,75,75,1,0,moderate
2013.0,0,1.0,1,1,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,8,60.0,0,0.0,2,1,0,0,0,1,14,0,flexible
2013.0,0,1.0,1,1,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,11,95.0,1,0.0,3,1,0,0,0,241,4,0,flexible
2014.0,0,1.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,15,60.0,1,0.0,1,1,8,38,68,343,16,0,moderate
2013.0,0,1.0,1,1,House,Entire home/apt,6,1.5,2.0,3.0,Real Bed,18,185.0,1,0.0,3,1,13,28,28,247,3,0,strict
2015.0,0,3.0,1,1,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,15,90.0,1,0.0,1,1,0,0,0,68,0,0,flexible
2015.0,1,2.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,11,49.0,0,0.0,1,1,0,0,0,273,26,0,strict
2014.0,0,2.0,1,0,House,Entire home/apt,6,2.0,3.0,2.0,Real Bed,15,600.0,1,0.0,2,1,0,0,0,17,0,0,strict
2012.0,0,2.0,1,1,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,10,100.0,2,40.0,2,1,0,18,48,323,3,0,strict
2013.0,0,339.0,1,1,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,9,172.0,1,0.0,2,1,0,5,35,310,2,0,strict
2015.0,0,1.0,1,0,Apartment,Entire home/apt,6,1.0,1.0,3.0,Real Bed,19,150.0,1,50.0,3,1,0,0,0,241,0,0,flexible
2015.0,0,1.0,1,0,House,Private room,3,1.0,1.0,1.0,Real Bed,10,200.0,1,0.0,1,1,0,0,0,7,0,0,flexible
2014.0,0,1.0,1,1,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,18,190.0,2,8.0,7,1,0,25,55,145,0,0,strict
2013.0,0,1.0,1,1,Apartment,Entire home/apt,2,1.0,0.0,1.0,Pull-out Sofa,11,85.0,1,0.0,1,1,18,38,68,158,23,1,moderate
2015.0,0,1.0,1,1,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,15,175.0,1,0.0,1,1,0,0,0,233,2,0,moderate
2010.0,0,2.0,1,1,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,15,89.0,1,0.0,2,1,0,0,19,263,2,0,strict
2013.0,0,339.0,1,1,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,13,170.0,1,0.0,2,1,0,0,3,278,2,0,strict
2014.0,0,1.0,1,1,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,13,370.0,1,0.0,2,1,0,0,0,211,0,0,moderate
2012.0,0,1.0,1,0,House,Entire home/apt,6,1.5,3.0,5.0,Real Bed,12,114.0,4,0.0,3,1,25,53,83,358,21,0,strict
2014.0,0,2.0,1,0,Apartment,Entire home/apt,3,1.0,0.0,1.0,Real Bed,14,143.0,1,0.0,2,1,18,18,18,236,4,0,strict
2015.0,0,1.0,1,0,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,17,750.0,1,0.0,1,1,0,0,0,229,0,0,flexible
2015.0,1,1.0,1,0,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,13,115.0,1,15.0,2,1,24,54,84,359,23,0,moderate
2015.0,0,1.0,1,1,House,Entire home/apt,4,1.0,0.0,2.0,Real Bed,9,90.0,1,0.0,2,1,19,49,79,354,7,1,strict
2012.0,0,1.0,1,0,House,Entire home/apt,5,2.0,3.0,5.0,Real Bed,10,180.0,1,0.0,1,1,0,8,8,162,2,1,strict
2011.0,0,21.0,1,1,House,Entire home/apt,6,1.0,3.0,4.0,Real Bed,15,180.0,4,0.0,2,1,4,23,53,328,15,0,strict
2011.0,0,1.0,1,0,House,Entire home/apt,4,2.0,2.0,2.0,Real Bed,11,499.0,1,0.0,4,1,30,60,90,365,1,0,strict
2013.0,0,1.0,1,1,Apartment,Entire home/apt,5,1.0,1.0,2.0,Real Bed,16,400.0,1,0.0,1,1,30,60,90,365,0,0,strict
2011.0,1,2.0,1,1,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,16,150.0,4,50.0,2,1,29,58,88,363,5,0,strict
2014.0,0,2.0,1,0,House,Entire home/apt,6,1.0,2.0,4.0,Real Bed,16,200.0,5,25.0,2,1,0,0,0,189,5,0,strict
2015.0,0,1.0,1,1,House,Entire home/apt,2,2.0,2.0,2.0,Real Bed,16,100.0,1,0.0,1,1,0,0,0,0,2,0,flexible
2013.0,0,1.0,1,1,House,Entire home/apt,6,1.5,3.0,4.0,Real Bed,16,225.0,1,0.0,2,1,8,38,68,343,1,1,strict
2013.0,0,1.0,1,0,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,18,85.0,1,0.0,2,1,10,23,29,296,36,0,moderate
2014.0,0,1.0,1,0,Apartment,Entire home/apt,4,1.0,1.0,2.0,Real Bed,17,175.0,4,50.0,2,1,0,13,43,318,0,0,flexible
2013.0,0,1.0,1,0,Apartment,Entire home/apt,3,1.0,1.0,1.0,Real Bed,15,95.0,1,0.0,1,1,15,45,75,350,1,0,flexible
2014.0,0,8.0,1,1,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,1,106.0,1,0.0,30,1,11,41,71,346,5,0,flexible
2012.0,0,1.0,1,0,House,Entire home/apt,9,2.5,3.0,3.0,Real Bed,12,800.0,1,0.0,3,1,30,60,90,365,0,0,moderate
2015.0,0,1.0,1,1,Apartment,Entire home/apt,4,1.0,0.0,2.0,Real Bed,18,135.0,3,20.0,2,1,29,44,74,349,2,0,flexible
2011.0,0,1.0,1,1,House,Entire home/apt,5,1.5,3.0,3.0,Real Bed,17,399.0,1,0.0,4,1,30,60,90,365,0,0,strict
2013.0,0,1.0,1,1,House,Private room,2,1.0,1.0,1.0,Real Bed,20,55.0,1,15.0,2,1,0,20,41,310,8,0,flexible
2015.0,0,1.0,1,0,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,6,250.0,1,0.0,1,1,0,0,0,0,0,0,flexible
2014.0,0,1.0,1,1,Apartment,Shared room,2,1.0,1.0,1.0,Couch,8,75.0,1,75.0,1,1,30,60,90,365,0,0,flexible
2014.0,1,1.0,1,1,House,Entire home/apt,4,1.0,1.0,2.0,Real Bed,16,185.0,4,0.0,2,1,6,36,66,341,13,1,strict
2014.0,0,1.0,1,1,House,Entire home/apt,5,2.0,3.0,3.0,Real Bed,15,199.0,1,0.0,1,1,6,20,24,243,5,0,moderate
2013.0,0,1.0,1,1,House,Entire home/apt,5,3.0,3.0,3.0,Real Bed,10,350.0,1,50.0,5,1,0,9,39,314,0,0,strict
2015.0,0,1.0,1,0,Townhouse,Entire home/apt,6,1.0,1.0,3.0,Real Bed,13,85.0,1,0.0,1,1,0,0,0,33,0,0,flexible
2015.0,0,3.0,1,1,Apartment,Entire home/apt,3,1.0,2.0,2.0,Real Bed,15,97.0,1,0.0,1,1,0,0,0,146,1,0,flexible
2015.0,0,1.0,1,1,Apartment,Entire home/apt,2,1.0,1.0,2.0,Real Bed,15,61.0,2,0.0,2,1,0,0,0,219,7,0,moderate
2012.0,0,2.0,1,1,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,11,120.0,2,0.0,14,1,0,0,0,26,5,0,strict
2012.0,0,1.0,1,0,House,Entire home/apt,7,2.0,2.0,2.0,Real Bed,15,700.0,1,0.0,2,1,30,60,90,365,0,0,moderate
2012.0,0,1.0,1,0,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,11,625.0,1,0.0,4,1,30,60,90,365,0,0,flexible
2014.0,0,4.0,1,1,Apartment,Entire home/apt,8,4.0,8.0,8.0,Real Bed,20,700.0,8,35.0,2,1,17,41,71,234,5,0,strict
2015.0,1,2.0,1,1,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,9,250.0,0,0.0,3,1,0,0,0,214,1,0,strict
2012.0,0,1.0,1,0,House,Entire home/apt,4,1.0,2.0,3.0,Real Bed,14,160.0,1,50.0,6,1,0,5,35,310,1,0,strict
2014.0,1,2.0,1,1,House,Private room,2,1.0,1.0,2.0,Real Bed,15,40.0,1,25.0,1,1,29,59,89,89,21,0,flexible
2015.0,1,5.0,1,1,House,Private room,4,1.5,1.0,1.0,Real Bed,11,33.0,1,6.0,1,1,14,42,69,124,69,0,flexible
2015.0,1,5.0,1,1,House,Private room,6,2.5,1.0,3.0,Real Bed,11,59.0,2,5.0,1,1,5,22,22,22,0,0,flexible
2015.0,1,5.0,1,1,House,Shared room,2,1.5,1.0,1.0,Real Bed,10,22.0,1,5.0,1,1,12,29,29,29,32,0,flexible
2015.0,1,5.0,1,1,House,Private room,2,1.5,1.0,1.0,Real Bed,10,27.0,1,5.0,1,1,8,26,41,41,32,0,flexible
2012.0,0,1.0,1,1,House,Entire home/apt,10,2.5,4.0,4.0,Real Bed,14,350.0,1,0.0,2,1,29,59,89,364,0,0,flexible
